temperature_K,time_ps,frame_index,n_pure,n_err
1500,2908.000000,1453,0,0.000000
1500,2920.000000,1459,0,0.000000
1500,2934.000000,1466,0,0.000000
1500,2946.000000,1472,0,0.000000
1500,2958.000000,1478,0,0.000000
1500,2970.000000,1484,0,0.000000
1500,2984.000000,1491,0,0.000000
1500,2996.000000,1497,0,0.000000
1500,3008.000000,1503,0,0.000000
1500,3020.000000,1509,0,0.000000
1500,3034.000000,1516,0,0.000000
1500,3046.000000,1522,0,0.000000
1500,3058.000000,1528,0,0.000000
1500,3070.000000,1534,0,0.000000
1500,3084.000000,1541,0,0.000000
1500,3096.000000,1547,0,0.000000
1500,3108.000000,1553,0,0.000000
1500,3122.000000,1560,0,0.000000
1500,3134.000000,1566,0,0.000000
1500,3146.000000,1572,0,0.000000
1500,3158.000000,1578,0,0.000000
1500,3172.000000,1585,0,0.000000
1500,3184.000000,1591,0,0.000000
1500,3196.000000,1597,0,0.000000
1500,3208.000000,1603,0,0.000000
1500,3222.000000,1610,0,0.000000
1500,3234.000000,1616,0,0.000000
1500,3246.000000,1622,0,0.000000
1500,3258.000000,1628,0,0.000000
1500,3272.000000,1635,0,0.000000
1500,3284.000000,1641,0,0.000000
1500,3296.000000,1647,0,0.000000
1500,3308.000000,1653,0,0.000000
1500,3322.000000,1660,0,0.000000
1500,3334.000000,1666,0,0.000000
1500,3346.000000,1672,0,0.000000
1500,3360.000000,1679,0,0.000000
1500,3372.000000,1685,0,0.000000
1500,3384.000000,1691,0,0.000000
1500,3396.000000,1697,0,0.000000
1500,3410.000000,1704,0,0.000000
1500,3422.000000,1710,0,0.000000
1500,3434.000000,1716,0,0.000000
1500,3446.000000,1722,0,0.000000
1500,3460.000000,1729,0,0.000000
1500,3472.000000,1735,0,0.000000
1500,3484.000000,1741,0,0.000000
1500,3496.000000,1747,0,0.000000
1500,3510.000000,1754,0,0.000000
1500,3522.000000,1760,0,0.000000
1500,3534.000000,1766,0,0.000000
1500,3546.000000,1772,0,0.000000
1500,3560.000000,1779,0,0.000000
1500,3572.000000,1785,0,0.000000
1500,3584.000000,1791,0,0.000000
1500,3598.000000,1798,0,0.000000
1500,3610.000000,1804,0,0.000000
1500,3622.000000,1810,0,0.000000
